iter	Passed	Remaining
0	1	163
1	3	164
2	4	156
3	6	148
4	7	148
5	9	148
6	11	154
7	13	154
8	15	154
9	17	155
10	19	154
11	21	155
12	23	154
13	24	152
14	26	151
15	28	149
16	30	147
17	32	146
18	34	145
19	36	144
20	38	143
21	39	141
22	41	139
23	43	137
24	45	135
25	47	134
26	48	132
27	50	129
28	52	127
29	53	125
30	55	124
31	57	122
32	59	120
33	61	119
34	63	117
35	65	116
36	67	114
37	69	113
38	71	111
39	73	109
40	75	107
41	75	104
42	77	102
43	79	100
44	81	99
45	83	97
46	84	95
47	86	94
48	88	92
49	90	90
50	92	88
51	94	87
52	96	85
53	98	83
54	99	81
55	101	79
56	103	78
57	105	76
58	107	74
59	109	72
60	111	71
61	113	69
62	114	67
63	116	65
64	118	63
65	120	62
66	122	60
67	124	58
68	125	56
69	128	54
70	130	53
71	131	51
72	133	49
73	135	47
74	137	45
75	139	43
76	141	42
77	143	40
78	144	38
79	146	36
80	148	34
81	150	33
82	152	31
83	154	29
84	156	27
85	157	25
86	159	23
87	161	21
88	163	20
89	165	18
90	167	16
91	168	14
92	170	12
93	172	11
94	174	9
95	176	7
96	178	5
97	180	3
98	182	1
99	184	0
