iter	Passed	Remaining
0	2	2005
1	3	1917
2	5	1862
3	7	1847
4	9	1843
5	11	1838
6	13	1955
7	15	1932
8	17	1906
9	18	1874
10	20	1858
11	22	1834
12	24	1836
13	26	1833
14	28	1855
15	30	1851
16	31	1844
17	33	1838
18	35	1839
19	37	1846
20	39	1845
21	41	1861
22	44	1903
23	46	1897
24	48	1898
25	51	1914
26	53	1922
27	55	1923
28	58	1943
29	60	1949
30	62	1952
31	64	1949
32	66	1951
33	68	1948
34	70	1945
35	73	1966
36	75	1969
37	77	1974
38	80	1977
39	82	1980
40	85	1988
41	87	1991
42	89	2000
43	92	1999
44	94	2000
45	96	1999
46	98	2001
47	101	2009
48	104	2020
49	106	2021
50	108	2022
51	110	2015
52	112	2015
53	115	2017
54	118	2027
55	120	2024
56	122	2020
57	124	2014
58	126	2014
59	128	2012
60	130	2015
61	133	2022
62	136	2023
63	138	2019
64	140	2015
65	142	2014
66	144	2008
67	146	2014
68	149	2013
69	151	2009
70	153	2002
71	155	1998
72	157	1997
73	159	1999
74	162	2002
75	164	2001
76	166	1998
77	168	1994
78	170	1990
79	172	1987
80	175	1986
81	177	1985
82	178	1974
83	180	1973
84	182	1969
85	184	1965
86	187	1962
87	189	1966
88	192	1969
89	194	1967
90	196	1964
91	198	1963
92	201	1962
93	203	1958
94	205	1958
95	207	1954
96	209	1951
97	211	1948
98	213	1945
99	216	1944
100	218	1945
101	220	1944
102	222	1940
103	224	1937
104	226	1934
105	228	1930
106	231	1928
107	233	1924
108	235	1924
109	237	1922
110	239	1919
111	241	1917
112	244	1915
113	246	1914
114	248	1915
115	251	1914
116	253	1909
117	255	1908
118	257	1904
119	259	1901
120	261	1899
121	263	1896
122	273	1949
123	275	1948
124	277	1945
125	280	1945
126	282	1939
127	284	1936
128	286	1935
129	288	1931
130	290	1929
131	293	1926
132	295	1926
133	297	1923
134	299	1920
135	301	1916
136	303	1912
137	305	1908
138	307	1904
139	310	1904
140	312	1902
141	313	1895
142	315	1891
143	317	1887
144	319	1884
145	321	1880
146	323	1878
147	326	1877
148	328	1876
149	330	1872
150	332	1871
151	334	1868
152	336	1864
153	338	1862
154	341	1861
155	343	1859
156	345	1855
157	347	1852
158	350	1851
159	352	1849
160	353	1844
161	356	1843
162	358	1841
163	360	1837
164	362	1834
165	364	1831
166	366	1828
167	368	1826
168	371	1826
169	373	1823
170	375	1819
171	377	1815
172	379	1813
173	381	1810
174	383	1807
175	385	1805
176	387	1802
177	389	1799
178	391	1795
179	393	1793
180	395	1791
181	397	1787
182	400	1786
183	402	1783
184	403	1779
185	405	1775
186	407	1773
187	410	1771
188	412	1768
189	414	1769
190	417	1767
191	419	1763
192	421	1760
193	423	1758
194	425	1756
195	427	1752
196	429	1750
197	431	1749
198	433	1746
199	435	1743
200	438	1742
201	440	1739
202	442	1735
203	444	1733
204	446	1731
205	448	1728
206	450	1724
207	452	1721
208	454	1719
209	456	1715
210	457	1712
211	460	1710
212	462	1707
213	464	1704
214	465	1700
215	467	1698
216	469	1694
217	471	1691
218	473	1689
219	475	1687
220	477	1684
221	479	1681
222	481	1679
223	483	1676
224	485	1672
225	487	1668
226	489	1666
227	491	1663
228	493	1660
229	495	1657
230	497	1655
231	499	1653
232	501	1651
233	503	1649
234	506	1648
235	508	1645
236	510	1643
237	512	1640
238	514	1638
239	516	1635
240	518	1633
241	520	1630
242	522	1627
243	524	1624
244	526	1621
245	528	1618
246	529	1615
247	531	1612
248	534	1611
249	536	1609
250	538	1606
251	540	1603
252	541	1600
253	543	1597
254	545	1594
255	547	1591
256	549	1589
257	551	1587
258	553	1584
259	555	1581
260	558	1580
261	560	1578
262	562	1575
263	565	1575
264	566	1572
265	569	1570
266	571	1568
267	573	1566
268	575	1563
269	577	1560
270	579	1558
271	581	1555
272	583	1552
273	584	1549
274	586	1546
275	588	1543
276	590	1542
277	592	1539
278	595	1538
279	597	1535
280	599	1533
281	601	1530
282	603	1528
283	605	1525
284	607	1523
285	609	1521
286	611	1518
287	613	1515
288	615	1513
289	617	1510
290	619	1508
291	620	1504
292	623	1504
293	625	1502
294	627	1500
295	629	1498
296	631	1495
297	634	1494
298	636	1491
299	638	1490
300	640	1488
301	642	1485
302	644	1482
303	646	1480
304	648	1478
305	650	1475
306	653	1474
307	655	1472
308	657	1470
309	659	1467
310	661	1466
311	663	1464
312	665	1461
313	668	1460
314	670	1459
315	673	1456
316	675	1454
317	677	1453
318	679	1451
319	681	1448
320	684	1447
321	686	1444
322	688	1442
323	689	1439
324	692	1437
325	694	1435
326	696	1433
327	698	1431
328	701	1429
329	703	1427
330	705	1425
331	707	1423
332	709	1420
333	711	1418
334	713	1417
335	715	1414
336	717	1411
337	719	1408
338	721	1406
339	723	1404
340	725	1401
341	728	1400
342	730	1398
343	732	1396
344	734	1394
345	736	1392
346	739	1391
347	741	1388
348	743	1386
349	745	1383
350	746	1381
351	748	1378
352	751	1377
353	753	1375
354	755	1373
355	758	1371
356	760	1369
357	762	1367
358	764	1365
359	766	1363
360	769	1361
361	772	1360
362	775	1360
363	777	1357
364	778	1355
365	780	1352
366	783	1350
367	784	1347
368	786	1345
369	788	1343
370	790	1340
371	792	1338
372	794	1336
373	797	1334
374	799	1332
375	801	1330
376	804	1329
377	806	1327
378	808	1324
379	810	1322
380	812	1320
381	814	1318
382	817	1316
383	819	1314
384	822	1313
385	824	1311
386	826	1309
387	828	1307
388	830	1304
389	832	1302
390	835	1300
391	837	1298
392	838	1295
393	840	1292
394	842	1290
395	844	1287
396	846	1285
397	848	1283
398	850	1281
399	852	1278
400	854	1276
401	856	1273
402	858	1271
403	860	1268
404	862	1266
405	864	1264
406	866	1262
407	868	1259
408	870	1258
409	872	1255
410	874	1253
411	877	1251
412	879	1249
413	881	1247
414	882	1244
415	884	1241
416	886	1239
417	888	1236
418	889	1234
419	892	1232
420	893	1229
421	895	1227
422	897	1224
423	899	1221
424	901	1219
425	903	1216
426	904	1214
427	906	1211
428	908	1209
429	910	1206
430	912	1204
431	914	1202
432	916	1200
433	918	1198
434	920	1195
435	922	1193
436	924	1190
437	926	1188
438	927	1185
439	930	1183
440	931	1181
441	933	1178
442	935	1176
443	937	1174
444	939	1171
445	941	1169
446	943	1167
447	945	1165
448	947	1162
449	948	1159
450	950	1157
451	953	1155
452	954	1153
453	956	1150
454	958	1148
455	960	1145
456	962	1143
457	963	1140
458	965	1138
459	968	1136
460	969	1133
461	971	1131
462	973	1128
463	975	1126
464	977	1124
465	979	1121
466	980	1119
467	982	1117
468	984	1114
469	986	1112
470	987	1109
471	990	1107
472	991	1105
473	993	1102
474	994	1099
475	997	1097
476	999	1095
477	1000	1092
478	1002	1090
479	1004	1088
480	1006	1086
481	1008	1083
482	1010	1081
483	1012	1079
484	1014	1076
485	1016	1074
486	1017	1072
487	1019	1069
488	1021	1067
489	1023	1064
490	1024	1062
491	1026	1060
492	1028	1057
493	1030	1055
494	1032	1053
495	1034	1050
496	1036	1048
497	1038	1046
498	1039	1043
499	1041	1041
500	1043	1039
501	1045	1036
502	1047	1034
503	1048	1032
504	1050	1030
505	1052	1027
506	1054	1025
507	1056	1023
508	1058	1020
509	1060	1018
510	1061	1016
511	1063	1013
512	1065	1011
513	1067	1009
514	1069	1007
515	1071	1005
516	1073	1003
517	1075	1000
518	1077	998
519	1079	996
520	1080	993
521	1082	991
522	1084	988
523	1086	986
524	1088	984
525	1090	982
526	1091	979
527	1093	977
528	1095	975
529	1100	975
530	1103	975
531	1105	972
532	1107	970
533	1109	968
534	1112	967
535	1114	965
536	1118	964
537	1120	962
538	1121	959
539	1123	957
540	1126	955
541	1128	953
542	1130	951
543	1132	949
544	1134	947
545	1136	945
546	1138	942
547	1140	940
548	1143	939
549	1145	937
550	1147	935
551	1149	933
552	1151	930
553	1153	928
554	1155	926
555	1156	923
556	1158	921
557	1160	919
558	1162	916
559	1164	914
560	1166	912
561	1168	910
562	1170	908
563	1172	906
564	1174	904
565	1176	901
566	1178	899
567	1180	897
568	1182	895
569	1184	893
570	1186	891
571	1187	888
572	1189	886
573	1191	884
574	1193	882
575	1195	880
576	1197	877
577	1199	875
578	1201	873
579	1202	871
580	1204	868
581	1206	866
582	1208	864
583	1210	862
584	1211	859
585	1213	857
586	1215	855
587	1217	852
588	1219	850
589	1221	848
590	1223	846
591	1225	844
592	1227	842
593	1229	840
594	1231	838
595	1233	835
596	1235	833
597	1237	831
598	1239	829
599	1241	827
600	1243	825
601	1245	823
602	1247	821
603	1248	818
604	1250	816
605	1252	814
606	1254	812
607	1256	810
608	1258	808
609	1260	805
610	1261	803
611	1263	801
612	1265	798
613	1267	796
614	1269	794
615	1271	792
616	1273	790
617	1275	788
618	1277	786
619	1278	783
620	1280	781
621	1282	779
622	1284	777
623	1286	775
624	1288	773
625	1290	771
626	1292	768
627	1293	766
628	1295	764
629	1297	762
630	1299	759
631	1301	757
632	1303	755
633	1305	753
634	1307	751
635	1308	749
636	1310	746
637	1312	744
638	1314	742
639	1316	740
640	1318	738
641	1320	736
642	1322	734
643	1324	732
644	1325	729
645	1328	727
646	1330	726
647	1332	723
648	1334	721
649	1336	719
650	1338	717
651	1340	715
652	1342	713
653	1344	711
654	1346	709
655	1348	707
656	1350	704
657	1351	702
658	1353	700
659	1355	698
660	1357	696
661	1359	694
662	1361	692
663	1363	689
664	1365	687
665	1367	685
666	1368	683
667	1370	681
668	1372	679
669	1374	677
670	1376	674
671	1378	672
672	1380	670
673	1381	668
674	1383	666
675	1385	663
676	1387	661
677	1389	659
678	1390	657
679	1392	655
680	1394	653
681	1396	651
682	1398	649
683	1400	646
684	1402	644
685	1404	642
686	1406	640
687	1408	638
688	1410	636
689	1412	634
690	1414	632
691	1415	630
692	1418	628
693	1419	626
694	1421	623
695	1423	621
696	1425	619
697	1427	617
698	1428	615
699	1430	613
700	1432	611
701	1434	609
702	1436	607
703	1438	604
704	1440	602
705	1442	600
706	1444	598
707	1445	596
708	1448	594
709	1450	592
710	1451	590
711	1453	587
712	1455	585
713	1457	583
714	1458	581
715	1460	579
716	1462	577
717	1464	575
718	1466	573
719	1468	571
720	1470	568
721	1472	566
722	1473	564
723	1475	562
724	1477	560
725	1479	558
726	1481	556
727	1483	554
728	1485	552
729	1487	549
730	1488	547
731	1490	545
732	1492	543
733	1494	541
734	1496	539
735	1498	537
736	1500	535
737	1502	533
738	1503	531
739	1505	528
740	1507	526
741	1509	524
742	1511	522
743	1513	520
744	1515	518
745	1516	516
746	1518	514
747	1519	512
748	1521	509
749	1523	507
750	1525	505
751	1527	503
752	1529	501
753	1530	499
754	1532	497
755	1534	495
756	1536	493
757	1538	491
758	1540	489
759	1542	486
760	1543	484
761	1545	482
762	1547	480
763	1549	478
764	1550	476
765	1552	474
766	1554	472
767	1557	470
768	1558	468
769	1560	466
770	1562	464
771	1564	461
772	1565	459
773	1567	457
774	1569	455
775	1571	453
776	1573	451
777	1575	449
778	1577	447
779	1579	445
780	1580	443
781	1583	441
782	1585	439
783	1587	437
784	1589	435
785	1591	433
786	1593	431
787	1595	429
788	1596	427
789	1598	424
790	1600	422
791	1602	420
792	1604	418
793	1605	416
794	1607	414
795	1609	412
796	1611	410
797	1613	408
798	1615	406
799	1617	404
800	1619	402
801	1620	400
802	1622	398
803	1624	396
804	1626	393
805	1628	391
806	1630	390
807	1633	388
808	1634	385
809	1636	383
810	1638	381
811	1640	379
812	1642	377
813	1645	375
814	1646	373
815	1648	371
816	1650	369
817	1652	367
818	1654	365
819	1655	363
820	1658	361
821	1660	359
822	1662	357
823	1664	355
824	1666	353
825	1667	351
826	1669	349
827	1671	347
828	1673	345
829	1675	343
830	1677	341
831	1679	339
832	1681	337
833	1682	334
834	1684	332
835	1686	330
836	1689	328
837	1691	326
838	1693	324
839	1695	322
840	1697	320
841	1698	318
842	1700	316
843	1703	314
844	1705	312
845	1707	310
846	1709	308
847	1711	306
848	1713	304
849	1715	302
850	1717	300
851	1719	298
852	1721	296
853	1723	294
854	1725	292
855	1727	290
856	1729	288
857	1730	286
858	1732	284
859	1734	282
860	1736	280
861	1738	278
862	1740	276
863	1742	274
864	1744	272
865	1746	270
866	1748	268
867	1750	266
868	1752	264
869	1754	262
870	1756	260
871	1758	258
872	1759	256
873	1761	253
874	1763	251
875	1765	249
876	1767	247
877	1769	245
878	1771	243
879	1772	241
880	1774	239
881	1776	237
882	1778	235
883	1780	233
884	1782	231
885	1783	229
886	1785	227
887	1787	225
888	1789	223
889	1791	221
890	1792	219
891	1794	217
892	1796	215
893	1798	213
894	1800	211
895	1802	209
896	1804	207
897	1806	205
898	1808	203
899	1810	201
900	1812	199
901	1813	197
902	1815	195
903	1817	192
904	1818	190
905	1820	188
906	1822	186
907	1824	184
908	1826	182
909	1828	180
910	1830	178
911	1832	176
912	1833	174
913	1835	172
914	1837	170
915	1838	168
916	1840	166
917	1842	164
918	1844	162
919	1846	160
920	1848	158
921	1850	156
922	1852	154
923	1854	152
924	1856	150
925	1858	148
926	1860	146
927	1861	144
928	1863	142
929	1865	140
930	1867	138
931	1869	136
932	1871	134
933	1873	132
934	1874	130
935	1876	128
936	1878	126
937	1880	124
938	1882	122
939	1884	120
940	1886	118
941	1888	116
942	1890	114
943	1892	112
944	1893	110
945	1895	108
946	1897	106
947	1899	104
948	1901	102
949	1903	100
950	1905	98
951	1906	96
952	1908	94
953	1910	92
954	1912	90
955	1914	88
956	1916	86
957	1927	84
958	1930	82
959	1932	80
960	1933	78
961	1935	76
962	1937	74
963	1939	72
964	1941	70
965	1943	68
966	1944	66
967	1947	64
968	1948	62
969	1950	60
970	1952	58
971	1954	56
972	1956	54
973	1958	52
974	1960	50
975	1962	48
976	1965	46
977	1966	44
978	1968	42
979	1970	40
980	1972	38
981	1974	36
982	1976	34
983	1978	32
984	1980	30
985	1982	28
986	1984	26
987	1985	24
988	1987	22
989	1989	20
990	1991	18
991	1993	16
992	1995	14
993	1997	12
994	1999	10
995	2000	8
996	2002	6
997	2004	4
998	2006	2
999	2009	0
